atc_concept_id,meddra_concept_id
21603448,36919128
21601129,37320338
21600083,37521157
21601518,35708737
21601429,36313276
21603980,36315364
21603086,36110977
21604431,37219953
21603080,35406429
21604570,36110708
21603137,35909483
21602432,36311779
21604516,35809104
21601747,36314249
21604422,35104746
21603911,35708554
21600399,36516973
21603749,37220008
21604344,37622478
21600958,36315754
21604131,35305953
21602985,36314157
21602256,35205034
21604543,35104691
21603285,36818729
21603080,36311779
21604562,37320214
21604762,35708612
21603929,36718355
21603906,35809133
21602540,35809155
21604857,35708156
21600096,37019453
21604590,35809386
21604757,36211297
21603497,42889641
21601129,36918968
21603103,35809116
21602338,36516957
21600096,35104101
21602898,36918858
21602895,36416598
21600943,788391
21603924,35707930
21602737,35909503
21602735,35506577
21603448,42889636
21603266,35607483
21602732,37219831
21601423,36516749
21602978,35205232
43534814,36919098
21600100,36314117
21601003,35104812
21600658,36718540
21604399,35909612
21604745,37019453
21603749,36919098
21604740,37220008
21604571,788391
21602256,36316343
21603312,35606961
21603772,35607096
21601392,35809115
21600097,36718141
21602066,35205184
21603019,35707907
21602256,36211197
21603165,36312648
21604764,37219907
21604857,36516781
21603756,37219907
21601045,36718395
21600535,35506691
21603514,35506636
21604431,35205315
21604378,37320109
21604556,42889636
21603131,36313176
21600611,36211179
21603080,35104119
21603288,36516812
21600266,36416496
21603448,37521157
21603448,43053882
21603448,36009735
21600270,35205034
21601139,36516867
21603462,35506636
21603256,37219905
21600862,37622502
21602895,36315754
21602482,35205038
21603929,36919128
21600493,36517149
21602517,37119485
21604740,36313594
21601428,36718352
21605265,35506742
21600084,36009895
21603165,36416496
21602690,37320268
21603916,35104746
21600493,35607414
21600187,42889641
21603256,35809115
21603448,36110224
21604051,45885696
21601920,36313534
21600575,37320293
21604434,36718352
21600083,35406319
21603927,36009825
21604760,36919098
21601200,35707721
21604556,36918936
21601860,36211297
21601428,45885570
21600303,35204903
21603256,36211181
21600718,37219959
21604115,37320214
21601003,36416496
21602870,35809248
21600575,35104691
43534814,35205038
21600575,36919233
21601390,35809155
21602480,36516812
21604422,35708724
21601423,36110708
21600957,36718179
21604422,36718277
21604344,37622442
21601207,36718457
21603019,37622442
21602692,35809225
21601390,42890076
21603904,35909503
21600100,36211477
21602256,37219905
21604718,42890076
21604348,35305953
21600084,35809386
21603285,43562827
21602504,42889463
21603896,36110917
21603924,37520829
21601129,36313246
21600718,36316343
21600513,35205185
21603080,35607345
21603481,36919036
21600878,37080795
21603210,36316391
21600084,36313240
21603285,35406391
21604344,35204996
21604745,37522181
21602102,36311981
21603900,37019396
21601428,36516815
21604115,37219867
21600513,35809221
21604757,36919042
21603154,42889647
21602931,35707552
21601212,36314117
21601428,35305953
21604711,36919037
21602985,36516749
43534814,36313276
21603605,36416514
21604757,35809225
21600096,36314117
21600719,35607414
21601429,36314494
21600718,36311984
21602075,35104074
21600575,35205259
21601860,35104691
21600819,35607345
21600747,36313176
21600098,36314494
21602690,36315364
21603925,35707930
21600747,42889801
21603793,35708093
21604402,36416572
21604344,36918900
21601134,35104074
21603165,37219820
21600448,35104691
21603906,36718119
21601428,35809155
21604344,36718179
21603131,36110321
21602256,36516973
21601860,36315262
21604590,35809080
21600719,35607483
21604590,37219953
21603821,37019396
21602096,36919037
21603896,36718335
21604399,36211285
21603448,36009727
21601392,45885570
21603925,35708208
21600878,36416496
21600083,36718433
21601157,42890076
21600234,36316343
21603925,35506691
21602735,36315364
21603641,36718259
21603021,36211465
21600317,35205259
21604562,36919022
21600084,36110878
21603497,35406391
21600398,36516957
21600448,35204989
21604756,36919098
21603693,35909518
21604516,36718352
21604131,36110534
21604415,35708642
21604399,35607483
21600816,35809386
21600604,36718119
21603924,36516876
21602823,35205232
21602766,35205038
21604419,36718171
21604529,37019450
21601390,37320143
21601428,35506636
21600098,35607414
21603410,36313176
21602985,35809077
21604376,35708608
21604529,37420507
21600100,36516781
21604562,36919041
21604718,35104856
21601392,37019238
21600084,36718509
21603256,35506742
21601435,36718433
21602256,35809104
21601435,35707858
21603097,36818729
21603285,36009756
21602096,35809180
21603285,36416514
21604563,42889647
21603908,36110540
21600399,35607097
21604431,37320161
21603800,36009757
21604559,37219944
21602734,35104691
21603009,37119745
21602898,36009756
21604415,36311984
21604402,37219868
21604544,36416501
21603137,35708603
21601435,42890076
21603906,36718312
21604415,35607130
21601435,35707721
21601787,35406319
21604436,36718401
21604431,35606939
21603356,36311779
21602690,37420362
21603925,35104102
21601518,36313246
21600097,37522270
21602870,36211465
21600494,37320158
21604417,35607027
21604436,36416501
21601129,36718352
21601392,36617296
21604433,35607340
21601518,35227885
21604230,35708171
21602978,36311779
21600543,36110736
21604348,36718355
21602730,36110096
21603605,35708177
21603967,36718401
21604562,36009776
21601045,42889647
21604711,36416550
21601518,37320268
21601423,35205023
21603607,37320338
21604559,37320268
21603693,37220014
21600084,36315380
21603693,35708093
21604051,36516973
21600664,37320214
21603137,35506494
21601518,35809387
21603911,36919128
21604432,36718355
21601518,36009757
21602909,37622446
21604741,36311779
21603800,36718355
21604764,35809225
21604422,36314249
21603772,35708208
43534814,37320158
21604643,37622442
21602978,35707930
21600096,36315754
21602096,35809087
21603924,36110643
21600083,42890076
21600535,36313176
21601003,35809304
21600096,37320338
21603163,36918968
21604718,36313573
21601432,36718347
21602517,35809104
21600083,35204996
21601432,36110591
21604571,35909503
21604760,35506577
21604115,35708117
21604740,35809077
21604116,36919128
21602931,36312648
21604740,35909518
21604305,37320212
21602066,35708202
21603911,37520881
21602970,35809005
21602690,35607340
21604305,35205133
21603285,35607414
21601747,36919098
21603080,36110492
21600535,36718433
21602540,36516957
21601786,36718312
21604422,35708612
21604115,36718395
21600448,35205185
21600111,36313534
21600819,36211181
21602823,35909518
21603514,36919037
21600484,35909528
21600575,35708179
21604562,36416483
21603693,35708208
21602737,35205185
21600719,35809005
21601157,35104074
21603210,37019321
21604516,36919091
21600816,45885696
21601419,36718433
21600733,35708093
21604764,36918921
21602823,37320268
21603097,36516973
21602096,36718335
21603497,36315376
21604718,35809303
21603497,36009727
21603925,36416516
21604741,35205184
21604440,35406319
21601428,36311984
21601518,36918861
21604348,35809215
21604745,36416514
21604348,36517149
21603980,35205184
21604431,35708608
21601419,36516865
21603448,36718179
21602732,36718566
21603103,36009895
21600096,35205034
21602102,36918861
21600604,36718433
21600234,36009735
21603362,35606961
21600234,36009895
21602066,36110649
21604378,36416509
21601921,36009757
21603793,36110708
21604434,36919033
21601432,36718312
21600484,37219953
21600234,35205184
21605014,36313573
21603908,788391
21603756,35809225
21604590,36110930
21604431,35809139
21603945,35708690
21602734,35104787
